action,risk,ats_type,ats_identifier,name,clean_name,board_url,jobs_count,sample_title_1,has_real_domain,domain_to_use,existing_db_name,existing_db_domain
insert,low,ashby,onoshealth,"Onos Health","Onos Health",https://jobs.ashbyhq.com/onoshealth,7,"Staff Software Engineer (AI)",no,onoshealth.ashby.ats-placeholder,,
insert,med,ashby,standinsurance,"Stand (standinsurance.com)","Stand",https://jobs.ashbyhq.com/standinsurance,11,"Member of the Technical Staff - Product Engineer",no,standinsurance.ashby.ats-placeholder,,
skip-ats,med,ashby,firecrawl,"Firecrawl","Firecrawl",https://jobs.ashbyhq.com/firecrawl,17,"Design Engineer",no,firecrawl.ashby.ats-placeholder,,
skip-ats,low,ashby,julius,"Julius AI","Julius AI",https://jobs.ashbyhq.com/julius,4,"Software Engineer - Product (New Grad)",no,julius.ashby.ats-placeholder,,
insert,med,ashby,opengov,"OpenGov","OpenGov",https://jobs.ashbyhq.com/opengov,71,"Sr. Software Engineer.",no,opengov.ashby.ats-placeholder,,
insert,med,lever,payjoy,"PayJoy","PayJoy",https://jobs.lever.co/payjoy,79,"Automation Engineer",no,payjoy.lever.ats-placeholder,,
insert,low,ashby,airapps,"Air Apps","Air Apps",https://jobs.ashbyhq.com/airapps,498,"Digital Marketing Manager",no,airapps.ashby.ats-placeholder,,
insert,low,ashby,artisan,"Artisan AI","Artisan AI",https://jobs.ashbyhq.com/artisan,12,"Growth",no,artisan.ashby.ats-placeholder,,
insert,med,ashby,hyperbound,"Hyperbound","Hyperbound",https://jobs.ashbyhq.com/hyperbound,5,"Founding Business Development Manager",no,hyperbound.ashby.ats-placeholder,,
insert,med,lever,inkitt,"Inkitt","Inkitt",https://jobs.lever.co/inkitt,14,"Chief of Staff to the CEO",no,inkitt.lever.ats-placeholder,,
skip-ats,low,greenhouse,extend,"Extend","Extend",https://boards.greenhouse.io/extend,15,"Account Executive, Corporate Enterprise",no,extend.greenhouse.ats-placeholder,,
insert,low,ashby,unlimitedindustries,"Unlimited Industries","Unlimited Industries",https://jobs.ashbyhq.com/unlimitedindustries,6,"Software Engineer - Junior",no,unlimitedindustries.ashby.ats-placeholder,,
insert,low,ashby,tomo,"Tomo Credit","Tomo Credit",https://jobs.ashbyhq.com/tomo,18,"Application Analyst",no,tomo.ashby.ats-placeholder,,
insert,low,ashby,atomicsemi,"Atomic Semi","Atomic Semi",https://jobs.ashbyhq.com/atomicsemi,34,"General Opportunity",no,atomicsemi.ashby.ats-placeholder,,
insert,med,lever,valdera,"Valdera","Valdera",https://jobs.lever.co/valdera,12,"Chemical Procurement Specialist",no,valdera.lever.ats-placeholder,,
insert,high,lever,thunkable,"Thunkable","Thunkable",https://jobs.lever.co/thunkable,3,"Education Account Executive",no,thunkable.lever.ats-placeholder,,
insert,med,ashby,kiddom,"Kiddom","Kiddom",https://jobs.ashbyhq.com/kiddom,20,"Program Manager, RFPs & Adoptions",no,kiddom.ashby.ats-placeholder,,
insert,low,greenhouse,inizioevoke,"Inizio Evoke","Inizio Evoke",https://boards.greenhouse.io/inizioevoke,51,"Account Director",no,inizioevoke.greenhouse.ats-placeholder,,
insert,low,greenhouse,fetch,"Fetch","Fetch",https://boards.greenhouse.io/fetch,57,"Actuary – Product Development",no,fetch.greenhouse.ats-placeholder,,
insert,med,ashby,fundamental,"Fundamental","Fundamental",https://jobs.ashbyhq.com/fundamental,21,"ML Researcher",no,fundamental.ashby.ats-placeholder,,
insert,high,ashby,doe,"Doe","Doe",https://jobs.ashbyhq.com/doe,3,"Machine Learning Researcher",no,doe.ashby.ats-placeholder,,
insert,med,ashby,yutori,"Yutori","Yutori",https://jobs.ashbyhq.com/yutori,4,"AI Engineer — Reinforcement Learning",no,yutori.ashby.ats-placeholder,,
update-by-name,low,greenhouse,beyond,"Beyond (bynd.com)","Beyond",https://boards.greenhouse.io/beyond,6,"Account Executive",no,beyond.ai,"Beyond",beyond.ai
insert,low,ashby,newlantern,"New Lantern","New Lantern",https://jobs.ashbyhq.com/newlantern,3,"Recruiter",no,newlantern.ashby.ats-placeholder,,
insert,med,lever,suger,"Suger","Suger",https://jobs.lever.co/suger,7,"Cloud GTM Practice Lead",no,suger.lever.ats-placeholder,,
insert,med,lever,arable,"Arable","Arable",https://jobs.lever.co/arable,7,"Field Technology Specialist – Oklahoma Panhandle",no,arable.lever.ats-placeholder,,
insert,low,greenhouse,climateimperative,"Climate Imperative Foundation","Climate Imperative Foundation",https://boards.greenhouse.io/climateimperative,5,"Controller ",no,climateimperative.greenhouse.ats-placeholder,,
insert,med,ashby,reducto,"Reducto","Reducto",https://jobs.ashbyhq.com/reducto,29,"Founding Product Manager",no,reducto.ashby.ats-placeholder,,
insert,med,ashby,shepherd,"Shepherd","Shepherd",https://jobs.ashbyhq.com/shepherd,15,"Senior Underwriter",no,shepherd.ashby.ats-placeholder,,
insert,high,ashby,halliday,"Halliday","Halliday",https://jobs.ashbyhq.com/halliday,2,"Front End Engineer",no,halliday.ashby.ats-placeholder,,
insert,med,lever,odaseva,"Odaseva","Odaseva",https://jobs.lever.co/odaseva,7,"Business Development Representative - German speaking",no,odaseva.lever.ats-placeholder,,
insert,low,greenhouse,worldquant,"WorldQuant","WorldQuant",https://boards.greenhouse.io/worldquant,100,"AI Software Developer",no,worldquant.greenhouse.ats-placeholder,,
insert,low,greenhouse,6sense,"6sense","6sense",https://boards.greenhouse.io/6sense,34,"Commercial Account Executive",no,6sense.greenhouse.ats-placeholder,,
insert,low,greenhouse,nexhealth,"NexHealth","NexHealth",https://boards.greenhouse.io/nexhealth,36,"Account Executive ",no,nexhealth.greenhouse.ats-placeholder,,
insert,med,ashby,airbyte,"Airbyte","Airbyte",https://jobs.ashbyhq.com/airbyte,8,"Senior Product Manager – UI/UX, PLG & Activation",no,airbyte.ashby.ats-placeholder,,
insert,high,ashby,latchbio,"LatchBio","LatchBio",https://jobs.ashbyhq.com/latchbio,2,"Systems Software Engineer",no,latchbio.ashby.ats-placeholder,,
insert,med,ashby,nextdata,"Nextdata","Nextdata",https://jobs.ashbyhq.com/nextdata,6,"Staff/Senior Software Engineer (Rust)",no,nextdata.ashby.ats-placeholder,,
insert,med,ashby,plaud,"Plaud.ai","Plaud.ai",https://jobs.ashbyhq.com/plaud,91,"Senior Product Designer - San Francisco",no,plaud.ashby.ats-placeholder,,
skip-ats,low,greenhouse,orchard,"Orchard Robotics","Orchard Robotics",https://boards.greenhouse.io/orchard,71,"Agent Success Associate",no,orchard.greenhouse.ats-placeholder,,
insert,low,greenhouse,mithril,"Mithril","Mithril",https://boards.greenhouse.io/mithril,4,"Manager, Strategic Finance & Revenue Operations",no,mithril.greenhouse.ats-placeholder,,
insert,low,greenhouse,symmetry,"Symmetry Systems","Symmetry Systems",https://boards.greenhouse.io/symmetry,5,"Controller",no,symmetry.greenhouse.ats-placeholder,,
insert,low,lever,orbitalsidekick,"Orbital Sidekick","Orbital Sidekick",https://jobs.lever.co/orbitalsidekick,2,"Senior Ground Software Operations Engineer",no,orbitalsidekick.lever.ats-placeholder,,
insert,high,lever,lucidworks,"Lucidworks","Lucidworks",https://jobs.lever.co/lucidworks,1,"Search Engineer, Technical Support (Government Sector) - EVERGREEN ROLE",no,lucidworks.lever.ats-placeholder,,
insert,low,lever,terawattinfrastructure,"Terawatt Infrastructure","Terawatt Infrastructure",https://jobs.lever.co/terawattinfrastructure,10,"Construction Project Manager",no,terawattinfrastructure.lever.ats-placeholder,,
insert,med,ashby,stronghold,"Stronghold","Stronghold",https://jobs.ashbyhq.com/stronghold,5,"Crypto Community Manager",no,stronghold.ashby.ats-placeholder,,
insert,low,greenhouse,armada,"Armada","Armada",https://boards.greenhouse.io/armada,61,"AI Engineer",no,armada.greenhouse.ats-placeholder,,
insert,med,ashby,sanity,"Sanity.io","Sanity.io",https://jobs.ashbyhq.com/sanity,32,"Senior Solutions Architect (US/Canada)",no,sanity.ashby.ats-placeholder,,
insert,low,greenhouse,alphasights,"AlphaSights","AlphaSights",https://boards.greenhouse.io/alphasights,84,"Associate, Client Service, 2026",no,alphasights.greenhouse.ats-placeholder,,
insert,low,greenhouse,newrelic,"New Relic","New Relic",https://boards.greenhouse.io/newrelic,73,"Account Executive - Commercial - Fixed Term Contract (Maternity)",no,newrelic.greenhouse.ats-placeholder,,
insert,med,ashby,lassie,"Lassie","Lassie",https://jobs.ashbyhq.com/lassie,6,"Software Engineer, Growth",no,lassie.ashby.ats-placeholder,,
insert,med,ashby,reacher,"Reacher","Reacher",https://jobs.ashbyhq.com/reacher,10,"Founding Account Executive (US)",no,reacher.ashby.ats-placeholder,,
insert,low,ashby,built-robotics,"Built Robotics","Built Robotics",https://jobs.ashbyhq.com/built-robotics,8,"Robotics Engineer",no,built-robotics.ashby.ats-placeholder,,
