id,stored_name,tenant,ats_identifier,domain,careers_url,job_count,suggested_name
5fb83c90-55fc-41d2-972f-86fdce92dec2,RTS,resolvetech,resolvetech:wd1:rts,resolvetech.wd1.myworkdayjobs.com,https://resolvetech.wd1.myworkdayjobs.com/en-US/rts,38,RTS
396465ab-1dc9-4c0e-afe5-1bb882f4ab2b,Great Basin College,nshe,nshe:wd1:GBC-external,gbcnv.edu,https://www.gbcnv.edu/,36,GBC
c6f8fc2e-f373-41c3-a86f-f75e02dfd88b,Salisbury University,marylandconnect,marylandconnect:wd1:SU_Careers,salisbury.edu,https://salisbury.edu/jobs,36,SU
95a75676-98de-4a8a-9562-d2e79a8cd9e2,Vibrantz Technologies,ferro,ferro:wd503:vibrantzcareers,vibrantz.com,https://vibrantz.com/careers,36,Vibrantz
0994d9a9-d459-4e4c-a636-bfd1ae36e969,Occidental Petroleum,oxy,oxy:wd5:Corporate,oxy.com,https://www.oxy.com/careers,34,Corporate
aa60ff87-e940-4885-b3e3-6e665368d286,Activision Blizzard,xboxgaming,xboxgaming:wd1:External,activisionblizzard.com,https://careers.activisionblizzard.com,33,Xboxgaming
2c4dc260-54d5-4cd0-a915-0369781a095c,LGG Industrial,hrsystem,hrsystem:wd1:Careers,lggindustrial.com,https://lggindustrial.com/careers,32,Hrsystem
471b9f4c-7edd-4769-b4ac-3c8eccd92c89,Minnesota State University Moorhead,minnstate,minnstate:wd115:Minnesota_State_Careers,mnstate.edu,https://minnstate.wd115.myworkdayjobs.com/Minnesota_State_Careers,32,Minnesota State
7850323d-43c6-40e1-a036-c654d3811ce3,Wentworth Institute of Technology,wit,wit:wd1:WIT,wentworth-institute-of-technology.lca-employer,https://www.wit.edu/,32,WIT
79c08011-9fed-4f84-955d-b8489d19d267,Wentworth Institute of Technology,wit,wit:wd1:WIT,wit.edu,https://www.wit.edu/,32,WIT
0c4bb2b6-b9cd-4c91-a13a-305819963dcd,AltaGas,wgl,wgl:wd5:AltaGas,altagas.ca,https://altagas.ca/careers,31,Altagas
82cede1b-fa74-4664-a16d-c31970f7303f,Hinds Community College,hindscc,hindscc:wd1:HCCExternalCareersSite,hindscc.edu,https://hindscc.wd1.myworkdayjobs.com/HCCExternalCareersSite,31,HCC
017cd3c1-3422-49d2-ad05-87d3e14b66c3,Midland States Bank,midlandsb,midlandsb:wd1:msbcareers,midlandsb.com,https://midlandsb.com/careers,27,MSB
e14955b7-fd24-4d94-a6cc-731fc3e65d22,Seattle Pacific University,spu,spu:wd12:SPU,spu.edu,https://spu.edu/jobs,26,SPU
6bfbb113-c919-4aeb-acd4-1d957549c8e6,University of Mount Union,unioncollege,unioncollege:wd5:UnionCollegeCareers,university-of-mount-union.lca-employer,https://union.edu/careers,26,Unioncollege
a9201396-2272-4fe4-8bfd-e8328ef30485,SMEC,surbanajurong,surbanajurong:wd3:careersatsmec,smec.com,https://smec.com/careers,25,Atsmec
4b303d81-2d25-4695-801a-1744fcd36d3b,Grand Valley State University,gvsu,gvsu:wd1:careers,gvsu.edu,https://gvsu.wd1.myworkdayjobs.com/careers,24,Gvsu
57705ea5-1b43-47f2-a690-6eb339aab5c7,AssetWorks LLC,volarisgroup,volarisgroup:wd3:AssetWorks,assetworks.com,https://assetworks.com/careers,23,Assetworks
03bfdbe0-3192-439e-b5b0-e6a69608649c,Ohio State University,osu,osu:wd1:OSUCareers,osu.edu,https://osu.wd1.myworkdayjobs.com/en-US/OSUCareers,21,OSU
48631988-eb69-497a-836c-89e58e9a213f,CAL STATE POLY UNIVERSITY POMONA,theclaremontcolleges,theclaremontcolleges:wd1:POM_Careers,cal-state-poly-university-pomona.uscis-employer,https://pomona.edu/careers,20,POM
8ba5a8e5-f6f2-49b3-92c7-af97b667a8e9,Frostburg State University,marylandconnect,marylandconnect:wd1:FSU_Careers,frostburg.edu,https://www.frostburg.edu/,20,FSU
b8b29bcc-7fb1-4a7b-93ec-076c94c968fc,Philadelphia College of Osteopathic Medicine,pcom,pcom:wd108:External,pcom.edu,https://pcom.wd108.myworkdayjobs.com/External,20,Pcom
1e214b92-950c-4660-b482-ed1bc5ac1149,Relativity,kcura,kcura:wd1:External_Career_Site,relativity.com,https://careers.relativity.com,20,Kcura
bdb2086f-8294-4b22-a523-ff4d60ad4e67,ABC Fitness Solutions,abcfinancial,abcfinancial:wd5:ABCFinancialServices,abcfitness.com,https://abcfitness.com/careers,19,Abcfinancialservices
895d9311-a8f4-4ace-a849-1e31283efed1,Blue Nile,signetjewelers,signetjewelers:wd1:BlueNile,bluenile.com,https://bluenile.com/careers,19,Bluenile
d4d5d1cb-e547-4bdf-95fc-79e002dabf40,Columbus State Community College,cscc,cscc:wd1:CSCC_ext,cscc.edu,https://cscc.wd1.myworkdayjobs.com/CSCC_ext,19,Cscc
ecac22b4-5ca2-492f-bdce-c465794982b4,Mount Holyoke College,mtholyoke,mtholyoke:wd5:External,mtholyoke.edu,https://mtholyoke.wd5.myworkdayjobs.com/External,19,Mtholyoke
bafa9c1e-e12e-46e8-9555-1ca679ebfd83,Envista Forensics,corpartners,corpartners:wd5:Envista,envistaforensics.com,https://envistaforensics.com/careers,18,Envista
050db487-e0ca-4085-8215-aa77612f50cf,SOUTHEASTERN UNIVERSITY INC,ulsselu,ulsselu:wd503:SLU,southeastern-university-inc.uscis-employer,https://southeastern.edu/careers,17,SLU
0b417fed-308f-4401-98e1-e4436d04c2cb,Southeastern Oklahoma State University,ulsselu,ulsselu:wd503:SLU,southeastern.edu,https://southeastern.edu/careers,17,SLU
6fd872a1-07f5-45f5-8f6a-f7cf871cef1b,University of Baltimore,marylandconnect,marylandconnect:wd1:UBaltCareers,ubalt.edu,https://www.ubalt.edu/,16,Ubalt
daef4f74-a714-419d-a503-c3fbf2eb7198,American Family Mutual Insur Co Si,amfam,amfam:wd1:careers,nfamilymutualinsursi.com,https://amfam.wd1.myworkdayjobs.com/careers/careers,15,Amfam
4080f962-6117-48d9-919d-c24eb8425784,Vanliner Insurance Company,gaig,gaig:wd1:National_Interstate_External,natl.com,https://natl.com/careers,15,National Interstate
f614a512-bf1b-4fc1-b8c6-d91875d1b87d,Northcentral Technical College,ntc,ntc:wd1:ntc,ntc.edu,https://ntc.wd1.myworkdayjobs.com/ntc,14,NTC
d9f9a282-f2fd-4098-a3ed-95c336425230,Warner Music Group,wmg,wmg:wd1:WMGUS,wmg.com,https://www.wmg.com/careers,14,Wmgus
9121cbb5-1913-4183-b13c-bfa56c165267,ALBANY LAW SCHOOL OF UNION UNIVERSITY,unioncollege,unioncollege:wd5:UnionCollegeCareers,albany-law-school-of-union-university.uscis-employer,https://union.edu/careers,13,Unioncollege
7cd774e0-e61c-4cb9-940f-8f0294c7003d,AUBURN UNIVERSITY CREDIT UNION,unioncollege,unioncollege:wd5:UnionCollegeCareers,union.edu,https://union.edu/careers,13,Unioncollege
